video	seconds	kind	quote	problem
ue-integrals-01	3.05	図の文言	効く成分	何に効くのかが省略されている。電気力の仕事の計算に使う、移動方向の電場成分、と対象を明示する。
ue-integrals-01	18.76	字幕と式	横の位置はエルかけるユー、縦の位置はエイチかけるユーの二乗です。	この確認フレームの式はr(u+h)−r(u)。位置の式ではなく二つの位置の差なので、字幕が説明するLu、Hu²を探せない。
ue-integrals-01	29.02	字幕と式	その微分と微小な刻みの積	画面は有限の差r(u+h)−r(u)であり、r′(u)duではない。「その微分」「刻み」が何を指すか画面から追えない。
ue-integrals-02	1.86	図の文言	ここまでに電気力がした仕事（累積）	図の数値はW/e、単位V。仕事WそのもののJではない。仕事を電気素量で割った値を表示している、と区別が必要。
ue-integrals-02	28.82	字幕と式	積分変数ブイは道の途中の目盛りで、上端のユーとは別の役割です。	確認フレームはv²/2などの微分の式で、積分の上端uが見えない。説明対象を同じ画面に残す必要がある。
ue-integrals-02	41.16	字幕と図	この例の負の仕事	図は途中までの移動、式はW(1)という終点までの結果。「この例」だけでは途中の値か全体の値か分からない。
ue-integrals-03	13.35	図の文言	外向きの電場へ電子を運ぶ	「電場へ」が行き先のように読める。電場の矢印と同じ向きへ運ぶのか、電荷から遠ざけるのか明記する。
ue-integrals-03	18.22	図の文言	Vは低く	複数の半径の説明が同じ表現で、何と比較して低いか不明。中心に近い点より低い、など比較対象が必要。
ue-integrals-03	28.44	字幕と式	電気力の仕事を電荷で割り、負号を付けた量	画面はV=U/qと位置エネルギーの差。仕事Wと負号が同時に見えず、UとWの接続を視聴者が補う必要がある。
ue-integrals-03	34.00	図の文言	合計(いま):	何の合計か、単位は何かが書かれていない。電場の線積分と仕事と電位差を区別できない。
ue-integrals-04	14.14	字幕と図	横一列	立体図のx・y・zに対して、画面の横と座標のどちらを指すか曖昧。x方向の帯、と図中の軸に対応させる。
ue-integrals-04	43.40	字幕と式	二つの方向の集計	確認フレームは単位の換算式。二重積分の二つの方向を見つけられない。「x方向に足した後、y方向に足す」と式と図を一致させる。
ue-integrals-05	3.00	図の文言	電荷と面の配置は同じです。	球の面積を扱う図に電荷が描かれていない。いま説明していない対象を持ち込んでいる。
ue-integrals-05	19.50	字幕と式	その輪の円弧の長さ	表示式は面積の積。円弧の長さを表す因子がどれか示されず、「その輪」と対応付けられない。
ue-integrals-05	31.39	字幕と式	縦の円弧の長さと横の円弧の長さの積	確認フレームはsinθ=ρ/R。説明している面積の積とは違う式なので追えない。
ue-gauss-01	31.69	字幕と式	内積は画面の式まで整理できます。	画面の式はr²=R²+d²+2Rd cosθという距離の二乗。内積r・nの式ではなく、「画面の式」という指示が成立しない。
ue-gauss-01	43.83	字幕と式	距離の三乗	画面の分母は括弧の3/2乗。括弧が距離の二乗だという一言がないと、三乗という説明と一致しないように見える。
ue-gauss-02	0.00	見出し	偏心球の面積分を、置換によってべき関数の積分へ直す。	偏心球・置換・べき関数を同時に処理させる。中心がずれた球、積分する文字を変える、など既に使った言葉に接続する。
ue-gauss-02	8.48	字幕と式	周方向の積分	説明はφの積分だが、画面はuについて積分した後の式。φがどこで2πになったか追えない。
ue-gauss-02	32.20	字幕と式	上端と下端	確認フレームに積分範囲がなく、uの定義と微分関係だけがある。交換する二つの値を示す必要がある。
ue-gauss-03	0.00	見出し	偏心球の積分を評価し	「評価」が出来栄えを採点する意味に読める。積分の値を計算する、とする。
ue-gauss-03	7.48	字幕と式	上端と下端の差	画面には上端を代入したGの値しかない。差を取るもう一方の値がなく比較できない。
ue-gauss-03	20.23	字幕と式	この値は球全体の集計結果で、各点の電場の値ではありません。	内部電荷の電気束を説明した後に、画面はΦE=0でもE≠0。「この値」が直前の非ゼロの束なのか、表示中のゼロなのか分からない。
ue-gauss-03	43.99	字幕と式	原始関数の両端の値が一致	画面には一方の端のGの値のみ。一致する二つの値を並べないと「両端」を確認できない。
ue-gauss-04	0.00	見出し	任意の小片の電気束	「小片」が何を分けたものか分からない。面を細かく分けた一区画、と名前より対象を先に示す。
ue-gauss-04	31.78	字幕と式	投影面積を距離の二乗で割った部分	画面はdA⊥=(r̂・n̂)dAで、距離の二乗で割った部分がない。「その式の中」を探しても見つからない。
ue-gauss-05	33.97	表示不具合	電荷が閉曲面上にないこと	同時に出る数式で閉曲面積分が赤い未変換の「\oiint」になっている。日本語自体とは別の表示不具合だが、説明の対象を読めない。
ue-gauss-05	45.35	字幕と式	内部電荷の合計を真空の誘電率で割った値	確認フレームは立体角の合計4πを示す式。電荷と誘電率の式を同時に見せないと結論の対象が分からない。
ue-gauss-06	8.52	字幕と式	この対称性	点電荷について説明しているのに、表示は平面電荷のE=σ/(2ε₀)。どの配置の対称性を指すか混乱する。
ue-gauss-06	46.21	字幕と式	距離の二乗	距離依存を比べる説明中に、距離を含まない平面の式が表示される。点電荷・線電荷・平面電荷の式に対象名が必要。
ue-gauss-07	7.68	字幕と式	各点の電場は、外部電荷によってゼロでない場合があります。	画面はE合=E外+E再配置=0。別の導体の話を先に見せているため、「ゼロでない」と「=0」が矛盾するように見える。
ue-gauss-07	13.53	字幕と図	一様な球殻	二つの球面のうち、電荷が載る実物の面と計算用の面がどちらか分からない。図の名前が不足している。
ue-potential-01	14.05	図の文言	混む所で強い	何が混むのか不明。等電位線の間隔が狭いところ、という対象が必要。
ue-potential-01	18.59	字幕と式	偏微分では、ほかの座標は固定されたままです。	偏微分を説明中なのに画面はE=V/d。一般式と一様電場の特別な式の違いが説明されない。
ue-potential-01	34.96	字幕と図	無限遠を基準	図は試験電荷とE=F/qで、遠方や基準点がない。「どこからどこまで」を図で補えない。
ue-potential-02	13.04	図の文言	電位Vの高さ	導体の絵に斜めの線が重なり、実際の物体の高さと電位の数値を区別する軸がない。
ue-potential-02	25.15	字幕と図	理想導線の抵抗はゼロと近似されるため、電位降下もゼロです。	字幕は理想導線の説明だが、図は電子の散乱を表す模型。理想導線と抵抗のある導線を切り替えたことが伝わらない。
ue-potential-02	25.15	図の文言	電子の模式軌道	「模式」「格子」の説明がない。電子の動きの簡略図、金属中の原子の位置、など図中の対象を直接呼ぶ。
